year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,359,Area,0.166772,0.287537,1.5527,0.181724,0.632582
1980,Annual,441,Area,0.000025,0.019086,0.005833,0.000484,0.035566
1980,Annual,442,Area,0.000021,0.016419,0.005018,0.000416,0.030597
1980,Annual,443,Area,0.000352,0.018,0.05,0.005279,0.17
1980,Annual,444,Area,0.000024,0.018572,0.005676,0.000471,0.034609
1980,Annual,447,Area,0.000001,0.000838,0.000256,0.000021,0.001562
1980,Annual,448,Area,0.000005,0.004172,0.001306,0.000102,0.007696
1980,Annual,449,Area,0.000001,0.000848,0.000265,0.000021,0.001564
1980,Annual,450,Area,0.000028,0.01,0.02,0.000421,0.07
1980,Annual,451,Area,0.00001,0.007407,0.002319,0.000181,0.013664
1980,Annual,452,Area,0.000105,0.05,0.01,0.001579,0.26
1980,Annual,453,Area,0.000002,0.001728,0.000541,0.000042,0.003187
1980,Annual,455,Area,0.000059,0.045652,0.014296,0.001116,0.084214
1980,Annual,456,Area,0.001216,0.052532,0.007296,0.004499,1.544476
1980,Annual,463,Area,0.001047,0.045246,0.006284,0.003875,1.330243
1980,Annual,475,Area,0.002581,0.22,0.019,0.007742,1.84
1980,Annual,489,Area,0.001207,0.052154,0.007244,0.004467,1.533364
1980,Annual,511,Area,0.00109,0.047082,0.006539,0.004033,1.384244
1980,Annual,520,Area,0.000264,0.009123,0.001269,0.001031,0.307582
1980,Annual,527,Area,0.000671,0.023163,0.003223,0.002618,0.780961
1980,Annual,534,Area,0.000137,0.02,0,0.000137,0.28
1980,Annual,541,Area,0.001241,0.042827,0.005959,0.004841,1.443961
1980,Annual,548,Area,0.000949,0.032735,0.004554,0.0037,1.10369
1980,Annual,555,Area,0.000772,0.17,0.03,0.002316,1.77
1980,Annual,562,Area,0.000222,0.006632,0.000976,0.000954,0.225473
1980,Annual,597,Area,0.000925,0.03193,0.004442,0.003609,1.076536
1980,Annual,619,Area,0.000322,0.009633,0.001418,0.001385,0.327505
1980,Annual,639,Area,0.34,0.61,0.25,0.02,1.39
1980,Annual,646,Area,0.089849,0.506612,0.154695,0.011395,1.41441
1980,Annual,658,Area,1.93,6.09,3.95,0.14,8.34
1980,Annual,670,Area,0,0.01,0,0.000163,0.01
1980,Annual,673,Area,0,0,0,0.000086,0
